name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Horse chestnut (Aesculus),t3,False,Venous insufficiency · Leg swelling,58,3,3,3,2,3,3,One of the best-studied herbal treatments for chronic venous insufficiency. A Cochrane review confirmed aescin-standardised extract reduces leg swelling and pain vs placebo. Works by reducing capillary permeability and improving venous tone. Raw horse chestnuts are toxic — only standardised extracts should be used. Avoid with blood thinners.,300 mg twice daily standardised to 50 mg aescin; raw seeds are toxic and must never be eaten,Take with food. Only use standardised extracts — never eat raw horse chestnuts. Avoid with blood thinners. Elevate legs and stay hydrated alongside supplementation.,
Red clover (Trifolium pratense),t3,False,Menopause · Bone · Isoflavones,58,3,3,3,2,3,3,"Contains isoflavones that weakly mimic oestrogen, making it one of the more studied herbal options for menopause symptoms. A 2024 review of 11 trials found it significantly reduces hot flash frequency by about 40 percent after 12 weeks. Also shows modest bone density preservation in postmenopausal women. May interact with hormone-sensitive conditions and blood thinners. Not recommended for women with a history of breast cancer.",40–80 mg/day isoflavones from standardised red clover extract; avoid with hormone-sensitive cancers,Take with food. Avoid if you have a history of hormone-sensitive cancers or are on blood thinners. Morning dosing is fine. Allow 8–12 weeks for menopause benefits.,
Marshmallow root (Althaea officinalis),t3,False,Gut soothing · GERD · Cough,58,2,4,2,3,3,5,"Contains mucilage that forms a soothing, protective coating over irritated mucous membranes in the throat, oesophagus, and stomach. Traditional use for coughs, sore throats, and acid reflux spans centuries, but almost no modern clinical trials exist. EMA classifies it as a traditional herbal medicine for mild digestive complaints and dry coughs. Very safe and well tolerated. Take 30 minutes away from medications as it may slow absorption.","500–1,500 mg/day root extract or 2–5 g root as tea; take 30 min away from medications",Take 30 min away from medications or food (the mucilage can slow absorption of other substances). Brew as a cold-water tea for soothing effect. Use 1–3× daily.,
D-Ribose,t3,False,Energy · Heart failure · Fibromyalgia,58,2,4,2,3,3,5,"A naturally occurring sugar that your body uses to rebuild ATP, the primary energy molecule in every cell. Small trials in heart failure and fibromyalgia patients show improved energy and exercise tolerance, but study quality is generally low. Does not appear to benefit healthy people who are not energy-depleted. May cause blood sugar spikes in diabetics. Generally safe at standard doses for most people.",5 g × 3 daily for heart failure or fibromyalgia; no benefit demonstrated in healthy adults,Take with food or a drink. Split into 3 doses spread through the day. Can cause a temporary blood sugar rise — use with caution if diabetic.,
Dandelion root (Taraxacum officinale),t3,False,Liver · Diuretic · Digestion,58,2,4,2,3,4,4,"A traditional herbal medicine used for centuries as a gentle diuretic and liver tonic. EMA classifies it as a traditional herbal medicine for mild digestive complaints and to increase urine output. Lab studies show anti-inflammatory and antioxidant activity, but human clinical trials are very scarce. Rich in inulin prebiotic fibre. Generally well tolerated. May interact with lithium and certain antibiotics by affecting kidney excretion.","500–1,500 mg/day root extract or 4–10 g dried root as tea; traditional use, limited clinical evidence",Take with food or as a tea. May interact with lithium and certain antibiotics — space apart by 2 hours. Drink extra water if using for diuretic effect.,
Coconut oil (supplement form),t3,False,MCTs · Energy · Antimicrobial claims,58,2,3,2,4,4,5,"Contains about 50 percent lauric acid and smaller amounts of medium-chain triglycerides. Despite heavy marketing, coconut oil raises LDL cholesterol more than other plant oils. The AHA advises against it as a heart-healthy fat. The MCT content is lower than pure MCT oil supplements. The antimicrobial benefits of lauric acid shown in lab studies do not reliably translate to oral supplementation. Cooking with it occasionally is fine.","Not recommended as a health supplement — raises LDL cholesterol comparably to other saturated fats. If MCT effects are the goal, use MCT oil (5–20 mL/day, build up gradually). If using coconut oil in cooking, do so in moderation as you would any saturated fat.","If taken, use with food. Raises LDL cholesterol — avoid if managing cardiovascular risk. Use MCT oil instead for ketogenic benefits.",
Korean red ginseng (fermented),t3,False,Sexual health · Energy · Immunity,58,3,3,3,2,3,3,"Heat-processed and fermented form of Panax ginseng that converts ginsenosides into more bioavailable forms. Multiple Korean trials show significant improvement in erectile function and libido in men. Also modestly boosts immune cell activity. The fermented form may absorb better than standard ginseng. May interact with blood thinners, diabetes drugs, and stimulants.",1–3 g/day fermented Korean red ginseng; avoid with warfarin and stimulants,Take in the morning with water to avoid sleep disruption. Avoid with blood thinners and caffeine. Take with food if it causes nausea.,
Bitter melon (Momordica charantia),t3,False,Blood sugar · Diabetes · Metabolic,58,3,3,3,2,3,3,"A traditional anti-diabetic remedy used across Asia, Africa, and South America. Contains at least 3 active compounds that lower blood sugar through different mechanisms. The Yin et al. 2018 Nutr J meta-analysis found modest HbA1c reductions in T2DM with methodological caveats, with smaller effects than metformin. May cause stomach upset and can dangerously lower blood sugar when combined with diabetes medications.",1–3 g/day extract or 50 mL/day juice; monitor blood sugar closely if on diabetes medication,Take with meals to reduce stomach upset. Monitor blood sugar closely if on diabetes drugs — dangerous drops are possible. Start with a low dose.,
Rosemary extract (carnosic acid),t3,False,Cognition · Antioxidant · Neuroprotection,58,2,4,2,3,3,5,Contains carnosic acid and rosmarinic acid with strong antioxidant and anti-inflammatory activity. Inhaling rosemary aroma improved cognitive performance in several trials. Oral extract shows modest memory benefits in older adults. EFSA approved rosemary extract as a natural food antioxidant preservative. Very safe at culinary and standard supplement doses. Concentrated extracts are more studied than essential oil.,500 mg/day rosemary extract standardised to carnosic acid; aroma inhalation also studied for cognition,"Take with food. For cognition, try diffusing rosemary essential oil while working — inhalation is also effective. Avoid high doses during pregnancy.",
L-Ornithine,t3,False,Sleep · Ammonia detox · Exercise recovery,58,2,4,2,3,3,5,"An amino acid involved in the urea cycle that helps your body clear ammonia, a metabolic waste product. Small trials show it improves sleep quality when taken before bed and reduces fatigue during prolonged exercise. Often combined with L-arginine for growth hormone release, though the GH effect is modest and short-lived. Very safe with no serious side effects reported in clinical studies.",400–800 mg before bed for sleep or 2–6 g before exercise for recovery,"For sleep, take 400–800 mg on an empty stomach 30 min before bed. For exercise, take 1–2 hours before training. Best with water, not a high-protein meal.",
Oat straw extract (Avena sativa),t3,False,Cognition · Anxiety · Sexual health,58,2,4,2,3,3,5,Young oat herb extract (not the grain) used traditionally for nervous exhaustion and as an aphrodisiac. The Neuravena extract improved cognitive function and reduced anxiety in two Australian trials in healthy adults. May work by inhibiting MAO-B and phosphodiesterase enzymes. The sexual health claims have minimal evidence. Generally very safe and well tolerated as oats are a common food.,"800–1,600 mg/day green oat extract (Neuravena form studied); well tolerated; limited evidence base",Take with water in the morning for cognitive support. Can be taken with or without food. Look for the Neuravena or AvenaCalm branded extract.,
Jujube (Ziziphus jujuba),t3,False,Sleep · Anxiety · Digestion,58,2,4,2,3,3,5,"A traditional Chinese sedative fruit containing jujuboside A, which modulates GABA receptors. Commonly used in Chinese herbal sleep formulas for centuries. A few small modern trials show modest improvements in sleep quality and anxiety. Also traditionally used for digestive complaints. Very safe as it is eaten as a common fruit and snack across Asia. Clinical evidence is limited but growing.",250–500 mg/day jujube seed extract standardised to jujubosides; or 10–30 g dried fruit,Take 30–60 min before bed for sleep. Can be eaten as dried fruit or taken as a capsule. Very safe — jujube is a common fruit in Asian cuisine.,
Nopal cactus / Prickly pear (Opuntia ficus-indica),t3,False,Blood sugar · Hangover · Cholesterol,58,2,4,2,3,3,5,A traditional food and medicine used across Mexico and the American Southwest. Small trials show it modestly reduces post-meal blood sugar when consumed alongside carbohydrates. One well-known trial found prickly pear extract taken before drinking significantly reduced hangover severity. Also lowers cholesterol and triglycerides in small studies. Very safe as it is a commonly consumed food.,"500–1,000 mg/day cactus pad extract; take with meals for blood sugar; before drinking for hangover prevention",For blood sugar: take with carbohydrate-containing meals. For hangovers: take before or just as you start drinking. Very safe as a common food.,
Nigella sativa standardised (TQ),t3,False,Metabolic · Glucose · Lipids,58,3,3,3,2,3,3,"Standardised to 2.5% thymoquinone for consistent dosing. Sahebkar 2016 (J Funct Foods, lipids) and Daryabeygi-Khotbehsara 2017 (Complement Ther Med, glycaemic) meta-analyses found significant reductions in fasting blood sugar, HbA1c, LDL, and blood pressure in metabolic syndrome and type 2 diabetes. Evidence is stronger than most metabolic herbs. Short-term safety is well established; long-term data is limited.",500 mg × 2 daily standardised to 2.5% thymoquinone; monitor BP and blood sugar if on relevant medications,"Take with meals. If on blood pressure or diabetes medication, monitor closely — additive effects are possible. Cold-pressed oil form can be used in cooking. Avoid heating above 180°C.",
Dan Shen compound (Salvia miltiorrhiza),t3,False,Cardiovascular · TCM · Circulation,58,3,3,3,2,3,3,"Known as Red Sage or Danshen, this TCM herb is widely used in China for cardiovascular conditions. Contains tanshinones and salvianolic acids with proven anti-platelet and vasodilatory effects. Most Dan Shen cardiovascular evidence is from Chinese-language trials (several meta-analyses summarising them), which report improved angina symptoms but with limited independent replication outside China. Caution: strong anticoagulant effects — do not combine with warfarin or antiplatelet drugs.","1,500–3,000 mg/day standardised extract; traditionally combined with Sanqi (Panax notoginseng)",Do not combine with blood thinners — significant anticoagulant interaction. Take with meals. Allow 4–8 weeks for cardiovascular benefits. Inform your doctor if using before surgery.,
Terminalia arjuna (Arjuna standardised extract),t3,False,Cardiovascular · Heart failure · Angina,58,3,3,3,2,3,3,"Ayurvedic cardiotonic bark used for over 2,500 years. Contains arjunolic acid and arjunic acid with proven cardioprotective effects. The canonical Indian cardiology trials (Bharani 1995 and 2002 in heart failure; Dwivedi 2007 in angina) found standardised Arjuna extract significantly improved ejection fraction in heart failure patients and reduced angina episodes. Caution: may potentiate antihypertensive and cardiac medications.",500 mg twice daily standardised bark extract (25% arjunic acid); take under medical supervision if on cardiac medications,Take with meals. Must inform cardiologist if using alongside heart medications. Allow 8–12 weeks for cardiovascular benefits. Not a replacement for standard cardiac care.,
Barley grass powder,t3,False,Nutrient-dense · Chlorophyll · Antioxidant · Green powder · Alkaline,58,2,4,2,3,4,4,"Young barley shoots harvested before grain formation, concentrated into a powder rich in chlorophyll, vitamin K, vitamin C, iron, calcium, and antioxidant enzymes (SOD, catalase). Small Japanese and Korean trials suggest antioxidant and mild blood sugar-stabilising effects. However, most trials are small (N<50), short-term, and at doses providing marginal nutrient contributions. Evidence is significantly weaker than comparably positioned supplements. Processing method critically affects quality — freeze-drying or low-temperature air-drying preserves more enzyme activity than high-heat processing. High vitamin K content: warfarin users must keep intake consistent. Gluten-free if harvested before grain formation, but manufacturing cross-contamination is common.",2–10 g/day of freeze-dried or cold-processed barley grass powder; higher doses needed for meaningful nutrient contributions,"Source freeze-dried or cold-processed products — high-heat processing degrades enzymes and chlorophyll. If coeliac or gluten-sensitive, look for certified gluten-free versions — cross-contamination risk is real. Vitamin K content is significant — keep dose consistent if on warfarin. Not a replacement for vegetables.",Safe for continuous daily use. Not a replacement for whole vegetable servings. No cycling needed.
Trehalose,t3,True,Gut health · Autophagy · Neuroprotection,58,2,5,2,2,3,4,"A disaccharide found naturally in fungi, insects, and some plants with unique biological effects beyond simple nutrition. Oral trehalose acts as a prebiotic for Bifidobacterium, mildly activates cellular autophagy, and has shown neuroprotective effects in animal models of Parkinson's and Alzheimer's disease. Human data is limited to gut microbiome effects. Safety is excellent. Most dramatic benefits remain preclinical.",5–10 g/day in water or food,Can replace some sugar in drinks; mild sweetness; diabetics should account for it as a carbohydrate source,
Ellagic acid,t3,True,Antioxidant · Gut health · Anti-inflammatory,58,2,5,2,2,3,4,"A polyphenol found in pomegranate, berries, and walnuts that converts to urolithins in the gut via microbiome metabolism. Ellagic acid itself has direct antioxidant, anti-proliferative, and anti-inflammatory properties in cell and animal studies. Bioavailability of parent ellagic acid is modest, but gut-converted urolithins have greater systemic effect. Human data primarily supports its role as a microbiome-dependent precursor rather than a direct pharmacological agent.",200–400 mg pomegranate or berry extract standardised for ellagic acid,Conversion to urolithins depends on individual gut microbiome composition; adequate gut microbial diversity maximises benefit,
Blackcurrant extract,t3,True,Eye health · Immunity · Circulation · Antioxidant,58,2,5,2,2,3,4,"An exceptionally anthocyanin-rich berry (predominantly cyanidin-3-glucoside and delphinidin-3-glucoside) with documented benefits for ocular circulation, visual fatigue, and immune function. Japanese clinical trials consistently show reduced visual fatigue, improved dark adaptation, and better night vision with New Zealand blackcurrant extract. Benefits for exercise-induced muscle damage recovery and natural killer cell activity have also been documented. The most anthocyanin-dense of commonly supplemented berries.",200–600 mg standardised extract (25% anthocyanins) daily,Split dose morning and evening for eye health; one of the best-evidenced anthocyanin sources for visual function and ocular circulation,
Oat avenanthramides,t3,True,Cardiovascular · Anti-inflammatory · Skin,58,2,5,2,2,3,4,"Polyphenolic amides unique to oats (primarily avenanthramides A, B, and C), distinct from the beta-glucan fibre fraction. Unlike oat beta-glucan which acts in the gut lumen, avenanthramides are absorbed systemically and exert anti-inflammatory, vasodilatory (via nitric oxide), and antioxidant effects. Human trials show reductions in LDL oxidation, improved endothelial function, and reduced platelet aggregation. Complementary to — not duplicative of — oat fibre benefits.",50–250 mg avenanthramide-rich oat extract daily,Available as standardised oat extract or concentrated avenanthramide complex; take with meals; synergistic with oat beta-glucan for complete oat benefits,
Chanca piedra (Phyllanthus niruri),t3,True,Kidney stones · Liver · Urinary,58,2,4,2,3,4,4,"A tropical herb traditionally used across South America and Ayurveda for kidney stones (the name means 'stone breaker' in Spanish) and liver support. Contains lignans, flavonoids, and alkaloids that inhibit calcium oxalate crystal aggregation and relax ureteral smooth muscle. Small RCTs suggest reduced stone recurrence and aid in passing existing stones. Also traditionally used for hepatitis B (evidence mixed). Generally well-tolerated but may lower blood sugar and blood pressure.","500 mg standardised extract 2–3 times daily, or 1–2 g dried herb as infusion",Take between meals with plenty of water; monitor blood pressure and glucose if medicated; 3-6 month courses are typical for stone prevention,
Potassium gluconate,t3,False,Potassium form · Electrolyte,58,2,3,2,4,5,4,"A non-chloride potassium salt useful when additional potassium is needed without the GI irritation and metabolic acid-base effects of potassium chloride. US supplements are limited to 99 mg elemental potassium per tablet (FDA), which is a small fraction of the ~3500-4500 mg daily requirement — most dietary potassium must come from food. Useful for gentle top-up in high-sweat situations, low-potassium diets (eg carnivore), and alongside thiazide diuretics under supervision.",99 mg per tablet; 1–3 tablets 2–3 times daily under supervision only,"Always prefer dietary potassium (fruit, vegetables, legumes) as primary route; avoid with ACE inhibitors, ARBs, potassium-sparing diuretics, or kidney disease; monitor serum K+ if supplementing beyond minimal amounts",
Chromium nicotinate (polynicotinate),t3,False,Chromium form · Glucose · Metabolic,58,2,4,2,3,4,4,"Chromium bound to niacin rather than picolinic acid, retaining chromium's glucose/insulin effects while avoiding theoretical picolinate concerns around oxidative DNA damage seen in some in-vitro work. Polynicotinate has similar absorption to picolinate but may be more stable in gut. Evidence for glycaemic benefit is modest at best in people without clear chromium deficiency. A reasonable alternative form for those worried about picolinate or already taking niacin. Avoid above 1000 mcg/day chronically.",100–400 mcg elemental chromium as polynicotinate daily,Take with a carbohydrate-containing meal; effect size is small and inconsistent in trials; do not combine with high-dose niacin (duplicate niacin exposure); discontinue if no effect at 12 weeks,
Borage oil (GLA),t3,False,Omega-6 GLA · Skin · Inflammation,58,2,4,2,3,4,4,"Borage seed oil is the highest-GLA (gamma-linolenic acid) commercial source at roughly 20-24% GLA — approximately 2-3x evening primrose oil. GLA bypasses the rate-limiting delta-6-desaturase step and feeds into anti-inflammatory series-1 prostaglandins. Evidence is modest for atopic dermatitis, rheumatoid arthritis, and diabetic neuropathy. Contains small amounts of pyrrolizidine alkaloids (PAs) — use only products certified PA-free for long-term use. Not a direct EPA/DHA substitute.",1000–3000 mg borage oil daily (providing 240–720 mg GLA),Use only PA-free certified products; take with meals; effects on skin/joints take 6-12 weeks; combine with fish oil to prevent arachidonic-acid buildup from GLA,
Calamari oil (high-DHA),t3,False,Omega-3 · DHA-rich · Sustainable,58,2,5,2,3,2,4,"An alternative marine omega-3 oil pressed from squid (calamari) byproducts, typically providing a higher DHA-to-EPA ratio (approximately 500 DHA : 100 EPA) than standard fish oil. Useful when DHA is the priority — brain support, pregnancy, and eye health. Environmental profile is generally favourable (calamari are short-lived, fast-reproducing, and often harvested as fisheries byproduct). Lower heavy-metal load than top-predator fish oils. Still subject to oxidation — choose antioxidant-stabilised products.",1–3 g calamari oil daily (targeting 500–1500 mg DHA),"Choose products with third-party oxidation testing; prefer for DHA-priority goals (cognition, pregnancy, eye health); algal DHA is the strict-vegetarian alternative",
Digestive bitters,t3,False,Digestion · Appetite · Bile,57,2,4,1,4,4,4,"Herbal extracts of bitter plants (gentian, dandelion, artichoke) that stimulate digestive enzyme and bile secretion via bitter taste receptors. Traditional use across many cultures supports a role in improving appetite and digestion before meals. Modern RCT evidence is very limited. Generally well tolerated and widely available as tinctures and capsules.",1–2 mL tincture or 500 mg capsule 15–30 min before meals; evidence mostly traditional,"Take 15–30 min before meals as a tincture or capsule. Works via taste receptors, so tinctures on the tongue are preferred over capsules for maximum effect.",
Mullein leaf (Verbascum thapsus),t3,False,Respiratory · Cough · Ear infections,57,2,4,1,3,4,5,"A traditional European herb used for centuries as a respiratory soothing agent. The leaves contain mucilage and saponins that may help loosen chest congestion. Mullein oil ear drops have some evidence for reducing ear infection pain in children. However, no rigorous clinical trials have tested the oral supplement form. EMA classifies it as a traditional herbal medicine for cough and mild respiratory complaints. Very safe and well tolerated.","500–1,500 mg/day dried leaf or 2–3 cups tea; traditional use for respiratory complaints; no clinical trials",Drink as tea with honey to soothe the throat. Can be taken any time of day. Strain the tea well — fine leaf hairs can irritate the throat.,
Nicotinamide riboside (NR),t3,True,NAD+ · Aging · Cellular energy,57,3,4,2,2,1,4,"A precursor to NAD+ that successfully raises blood NAD+ levels in humans. Multiple trials confirm NR supplementation at 300 to 1,000 mg per day significantly increases NAD+ within 2 weeks. However, like NMN, no meaningful clinical health improvements have been demonstrated yet despite raised NAD+. The gap between biomarker changes and actual health benefits remains the key unanswered question.","300–1,000 mg/day; successfully raises NAD+ but no clinical health benefits demonstrated yet",Take in the morning with or without food. Avoid late in the day as it may affect sleep. No known food interactions at standard doses.,
Black rice extract (anthocyanins),t3,False,Antioxidant · Cardiovascular · Anti-inflammatory,57,2,5,1,2,3,5,Contains anthocyanins similar to blueberries and purple grapes but at higher concentrations per gram. A few small trials show it reduces LDL oxidation and improves inflammatory markers. Also shows modest blood sugar benefits. Very safe as black rice has been consumed as a food for thousands of years. The extract form is more concentrated than eating black rice. Evidence base is still limited.,"500–1,000 mg/day standardised anthocyanin extract; safe food-derived supplement with limited trial data",Take with or without food. Absorbed better with a small meal. A very safe option — black rice has been eaten for centuries. Morning is fine.,
Berberine-containing Coptis (Huang Lian),t3,False,TCM · Antimicrobial · Glucose metabolism,57,3,3,2,3,3,3,"Coptis chinensis is the traditional TCM source of berberine, used for centuries to treat damp-heat conditions and digestive infections. The whole herb contains additional alkaloids beyond berberine alone. A 2024 review found Coptis extracts have broader antimicrobial activity than purified berberine. Same drug interaction cautions as berberine apply.","500–1,000 mg/day Coptis extract; lower dose than pure berberine due to additional active alkaloids",Take with meals. Same drug interaction cautions as berberine — avoid with metformin and CYP-metabolised drugs without guidance. May cause GI upset at higher doses. Bitter taste is normal.,
Tremella fuciformis polysaccharide (beauty mushroom),t3,False,Skin hydration · Hyaluronic acid alternative · Beauty,57,2,5,1,2,3,5,"Known as snow fungus or silver ear mushroom, Tremella contains polysaccharides structurally similar to hyaluronic acid with demonstrated water-holding capacity. Traditional Chinese medicine uses it as a yin-nourishing beauty food. Cell studies confirm it stimulates fibroblast proliferation and hyaluronic acid production. Almost no clinical trial data for oral supplementation. Extremely safe as a traditional food ingredient.","1,000–3,000 mg/day Tremella extract standardised to polysaccharide content; or include dried tremella in soups","Can be eaten as a traditional food in sweet soups. As a supplement, take with water daily. Allow 8–12 weeks for any skin hydration effects. Extremely safe. Better evidence exists for topical hyaluronic acid.",
D-Glucuronolactone,t3,True,Energy · Detox · Liver support,57,2,4,1,4,4,4,"A naturally occurring compound derived from glucose that participates in glucuronic acid conjugation — a key pathway in liver detoxification. Widely used in energy drinks at 600–2,400 mg per serving. At standalone therapeutic doses, limited data suggests liver-supportive and modest alertness-promoting effects, likely via synergy with taurine and caffeine rather than direct standalone action. Safety data as an isolated high-dose supplement is limited.","400–1,200 mg/day, often combined with caffeine or taurine","Most evidence comes from energy drink contexts alongside caffeine; standalone data is sparse; don't exceed 1,200 mg as isolated supplement",
Yohimbine HCl,t3,True,Fat loss · Stimulant · Alpha-2 antagonist,57,3,2,2,4,4,3,"The purified HCl salt of yohimbine, the alpha-2 adrenergic antagonist from Pausinystalia yohimbe bark. By blocking inhibitory alpha-2 receptors on fat cells, yohimbine increases norepinephrine release and fat mobilisation, particularly from stubborn adipose depots. RCTs confirm acute and chronic fat loss, especially during fasted exercise. Purified HCl allows precise dosing unlike whole bark extracts. Contraindicated in anxiety disorders, hypertension, cardiac arrhythmia, and alongside other stimulants.","2.5–20 mg/day fasted, starting at 2.5 mg and increasing slowly",Always start at lowest dose; take fasted (food blunts effect via insulin); never combine with caffeine without established tolerance; monitor blood pressure,
Alpha-GPC,t3,False,Cognition · Acetylcholine · Athletic,56,3,3,3,2,2,3,"A highly bioavailable choline compound that raises acetylcholine, a key memory and focus neurotransmitter. A 2025 review found it outperforms citicoline for dementia outcomes. A 2024 trial showed 630 mg/day meaningfully improved focus. A 2021 Korean study raised stroke concerns but methodology was widely disputed; no RCT has confirmed this. Use with caution if at elevated cardiovascular risk.",300–600 mg/day for cognition; 600 mg taken 90 min pre-exercise for athletic performance,"Take in the morning or before exercise. Avoid evening doses — can be stimulating. Take with food or water. If at elevated cardiovascular risk, discuss with your doctor first.",
Black seed oil (Nigella sativa),t3,False,Metabolic · Glucose · Lipids · BP,56,3,3,3,2,2,3,"Multiple 2024–2025 reviews confirm it modestly lowers blood sugar, LDL cholesterol, triglycerides, and blood pressure. Active compound thymoquinone has anti-inflammatory properties. Most supporting trials are small and short-term — treat effect sizes cautiously. Caution: enhances blood pressure and diabetes medications. Use cold-pressed oil only — do not heat. Safety beyond 3 months is limited.",1–3 g/day cold-pressed oil or 500 mg standardised extract; do not heat; monitor BP if on antihypertensives,"Take with food. Never heat the oil — use it cold only. If on blood pressure medication, monitor BP regularly as effects are additive. Refrigerate after opening.",
Lemon balm (Melissa officinalis),t3,False,Anxiety · Sleep · Cognitive calm,56,2,4,2,3,3,4,"A gentle calming herb commonly consumed as tea. A 2021 systematic review (Ghazizadeh et al.) of 6 small RCTs reported modest reductions in anxiety and improvements in sleep, though trials were small and heterogeneous. NCCIH considers it generally safe for short-term use. Contains rosmarinic acid, which has calming properties. May modestly improve sleep quality when taken before bed.",300–600 mg/day standardised extract (2–5% rosmarinic acid); allow 2–4 weeks for assessment,Take with water in the evening or 30–60 min before bed for sleep support. Can be taken with or without food. No major drug interactions. May cause mild drowsiness.,
GABA (standalone supplement),t3,False,Anxiety · Sleep · Relaxation,56,2,4,2,3,3,4,"Standard GABA supplements probably do not cross the blood-brain barrier in meaningful amounts, which limits plausible central effects. Small RCTs (e.g. Abdou 2006) report modest increases in relaxation and alpha-wave activity, but later systematic reviews (Boonstra 2015) conclude human evidence is preliminary and inconsistent. The fermentation-derived PharmaGABA form has slightly more data than synthetic GABA. Generally safe, but overall evidence is weak.",100–750 mg/day; PharmaGABA form may have better CNS effects,Take in the evening or before bed for relaxation. Can be taken with or without food. Do not combine with alcohol or sedative medications — may increase sedative effects.,
Elderflower extract,t3,False,Upper respiratory · Antiviral · Sinus,56,2,4,2,3,3,4,"Related to but different from elderberry, and with much weaker evidence. Traditionally used for sinus and upper respiratory inflammation in European herbal medicine. Very limited trial data exists, as most evidence comes from lab studies only. Generally considered safe for short-term use. If you want elderberry benefits, choose elderberry itself instead.","500–1,000 mg/day standardised extract; evidence insufficient for strong recommendation",Take with water and food to reduce any stomach irritation. Can be taken any time of day.,
Methyl B12 + Methylfolate combo,t3,False,MTHFR · Methylation · Energy,56,2,4,2,3,3,4,"Marketed to people with the MTHFR gene variant, which about 40% of the population carries. NIH notes most carriers have perfectly normal folate metabolism and do not need special supplements. Only clinically needed when blood tests actually show low folate, low B12, or elevated homocysteine levels. Safe but usually unnecessary for healthy people.","1,000 mcg methyl-B12 + 400 mcg 5-MTHF/day; test homocysteine and serum levels first",Take in the morning with water. May cause vivid dreams or restlessness if taken at night. Can take with or without food.,
Slippery elm (Ulmus rubra),t3,False,Gut · GERD · Sore throat,56,2,4,2,3,3,4,"A soothing bark that coats and protects irritated digestive and throat surfaces. Traditional use for acid reflux, IBS, and sore throat spans centuries. No human trials exist, and all evidence is based on historical use and theoretical support. Generally well tolerated. Take 2 hours away from medications because it may slow their absorption.",400–800 mg/day or 1–2 tbsp bark powder in water; take 2 hrs away from medications (may impair absorption),Mix powder into a glass of water and drink before meals. Take at least 2 hours away from any other medications — the mucilage can block their absorption.,
"Sambucol (elderberry extract, maintenance)",t3,False,Immunity · Prevention · Daily use,56,2,4,2,3,3,4,"Evidence supports elderberry for treating active colds and flu when started within 48 hours of symptoms. However, no trial evidence supports daily maintenance use for immune ""boosting"" in healthy adults. Save it for when you actually get sick rather than taking it every day. Using it preventively is an unnecessary expense with no proven benefit.",Acute use only (15 mL × 4 daily for 3–5 days at symptom onset); daily maintenance use unsupported,"Only use when sick — take at the very first signs of a cold or flu. Take with water, with or without food. Do not use daily for prevention.",
"Melatonin (high-dose, nightly)",t3,False,Sleep dependency · Hormone disruption,56,2,3,2,5,3,4,Different from the low-dose situational use recommended in Tier 1. Taking doses above 1 mg nightly can suppress your body's own melatonin production and disrupt your natural sleep-wake cycle. Long-term nightly use hasn't been well studied. Use the lowest effective dose (0.3 to 1 mg) only when needed for jet lag or shift work.,"AVOID >1 mg nightly long-term; use 0.3–1 mg situationally only (jet lag, shift work)","Take 0.3–1 mg, 30–60 min before desired sleep time. Do not use nightly long-term. Avoid alcohol on nights you take melatonin.",
R-Alpha lipoic acid,t3,False,Neuropathy · Blood sugar · Antioxidant,56,3,3,3,2,2,3,"The natural R-form of alpha lipoic acid, which is more bioavailable than the synthetic racemic mix commonly sold. Multiple trials show it reduces diabetic neuropathy symptoms like numbness, tingling, and burning pain. Also supports healthy blood sugar levels. Take on an empty stomach for better absorption. May lower thyroid hormone at very high doses.",300–600 mg/day R-ALA; take on an empty stomach for better absorption,Take on an empty stomach 30 min before meals for best absorption. Avoid high-carbohydrate meals right before or after — may cause blood sugar to drop too low in diabetics.,
Triphala,t3,False,Gut health · Digestion · Detox,56,2,4,2,3,4,3,"A traditional Ayurvedic combination of three fruits (amla, bibhitaki, haritaki) used for digestive health for centuries. Small trials show modest improvements in constipation and gut transit time. Also has antioxidant properties. Generally well tolerated. Start with a low dose to assess tolerance. Evidence is mostly traditional rather than clinical.","500–1,000 mg/day or 2–4 g powder in warm water before bed; start low to assess tolerance",Take with warm water 30 min before bed. Start at a low dose and increase slowly. Can cause loose stools at higher doses — reduce if this happens.,
Activated B complex (methylated),t3,False,Energy · Mood · Methylation,56,2,4,2,3,3,4,"A B-complex formula using pre-methylated forms (methylfolate, methylcobalamin, P5P) that bypass the MTHFR enzyme. Clinical benefit is clearest for people with confirmed MTHFR mutations and elevated homocysteine. Most healthy adults absorb standard B vitamins effectively and gain little advantage from the more expensive methylated versions. Avoid late-day dosing.","1 capsule/day providing methylated B12, folate, and B6 (P5P); most useful with confirmed MTHFR variants",Take in the morning with water and food. Avoid taking in the evening — B vitamins can be energising and may disrupt sleep.,
IP-6 (Inositol hexaphosphate),t3,False,Immunity · Cancer adjunct,56,2,4,2,2,3,5,"A naturally occurring compound found in grains and legumes that may support immune function. Lab studies show it enhances natural killer cell activity, and small clinical trials suggest possible benefits as an adjunct alongside conventional cancer treatment. Human evidence is still limited and more research is needed. Generally well tolerated at standard doses.",1–8 g/day in divided doses on an empty stomach; evidence mostly preclinical,"Take on an empty stomach, 30–60 min before meals, for best absorption. Avoid taking alongside mineral supplements — IP-6 can bind to minerals and reduce their absorption.",
